Time,Unix,Floor,Marker,X,Y
2024-05-13 11:46:27.486282,1715609787.4862828,0,Experiment.Start,0.0,0.0
2024-05-13 11:46:29.313564,1715609789.313564,0,Eyetracking Record?,0.0,0.0
2024-05-13 11:46:29.941736,1715609789.9417362,0,Watch Record?,0.0,0.0
2024-05-13 11:46:31.086226,1715609791.086226,0,Joystick Record?,0.0,0.0
2024-05-13 11:46:36.175776,1715609796.175776,0,Research Camera?,0.0,0.0
2024-05-13 11:46:43.644277,1715609803.6442776,0,Angular Measure?,0.0,0.0
2024-05-13 11:46:44.609819,1715609804.6098194,0,Iphone?,0.0,0.0
2024-05-13 11:47:58.517878,1715609878.517878,0,Task1 Start,0.0,0.0
2024-05-13 11:47:59.953024,1715609879.9530246,0,Point,0.17905,0.57843
2024-05-13 11:48:10.125014,1715609890.1250148,0,Point,0.17429,0.65564
2024-05-13 11:48:22.447807,1715609902.4478076,0,Point,0.14667,0.65319
2024-05-13 11:48:37.003568,1715609917.0035682,0,Point,0.25238,0.65564
2024-05-13 11:48:48.534792,1715609928.5347922,0,Point,0.28667,0.65931
2024-05-13 11:48:57.991193,1715609937.9911935,0,Point,0.28857,0.80147
2024-05-13 11:49:08.566001,1715609948.5660012,0,Point,0.28476,0.86152
2024-05-13 11:49:17.285195,1715609957.285195,0,Point,0.32476,0.87255
2024-05-13 11:49:18.500527,1715609958.5005271,0,Task1 End,0.0,0.0
2024-05-13 11:50:53.529829,1715610053.52983,0,Task2 Start,0.0,0.0
2024-05-13 11:51:02.046812,1715610062.0468128,0,Point,0.2781,0.8701
2024-05-13 11:51:07.505425,1715610067.5054255,0,Point,0.25143,0.8701
2024-05-13 11:51:14.743179,1715610074.7431793,0,Point,0.18286,0.86397
2024-05-13 11:51:17.901637,1715610077.9016373,0,Point,0.14095,0.86765
2024-05-13 11:51:32.808705,1715610092.8087053,0,Point,0.14857,0.65441
2024-05-13 11:51:38.735737,1715610098.7357378,0,Point,0.17143,0.66054
2024-05-13 11:51:50.168797,1715610110.1687975,0,Point,0.09238,0.61765
2024-05-13 11:51:51.771602,1715610111.7716024,0,Task2 End,0.0,0.0
2024-05-13 11:52:51.743175,1715610171.7431755,0,Task3 Start,0.0,0.0
2024-05-13 11:52:57.382059,1715610177.3820598,0,Point,0.1419,0.66054
2024-05-13 11:53:11.388863,1715610191.3888633,0,Point,0.18,0.56618
2024-05-13 11:53:22.245368,1715610202.2453687,0,Point,0.17333,0.48162
2024-05-13 11:53:46.010090,1715610226.0100908,1,Point,0.29238,0.48652
2024-05-13 11:53:59.651678,1715610239.6516788,1,Point,0.30286,0.64706
2024-05-13 11:54:07.952474,1715610247.952474,1,Point,0.00095,0.58578
2024-05-13 11:54:19.050396,1715610259.050396,1,Point,0.30381,0.84314
2024-05-13 11:54:45.240872,1715610285.2408724,1,Point,0.33143,0.89338
2024-05-13 11:54:57.951257,1715610297.951257,1,Point,0.30952,0.71814
2024-05-13 11:55:02.629085,1715610302.6290855,1,Point,0.33048,0.66544
2024-05-13 11:55:03.896607,1715610303.8966074,1,Task3 End,0.0,0.0
2024-05-13 11:57:04.948866,1715610424.9488661,1,Task4 Start,0.0,0.0
2024-05-13 11:57:06.793806,1715610426.7938066,1,Point,0.35048,0.82475
2024-05-13 11:57:17.637289,1715610437.6372898,1,Point,0.44952,0.82598
2024-05-13 11:57:19.890975,1715610439.8909752,1,Point,0.45333,0.86029
2024-05-13 11:57:32.988719,1715610452.988719,1,Point,0.56762,0.85907
2024-05-13 11:57:38.269139,1715610458.269139,1,Point,0.00095,0.95343
2024-05-13 11:57:48.214193,1715610468.2141929,1,Point,0.65905,0.87623
2024-05-13 11:58:21.043795,1715610501.0437958,1,Point,0.6381,0.8848
2024-05-13 11:58:21.739016,1715610501.7390165,1,Task4 End,0.0,0.0
2024-05-13 11:59:22.950641,1715610562.9506419,1,Task5 Start,0.0,0.0
2024-05-13 11:59:30.594789,1715610570.5947897,1,Point,0.56,0.86397
2024-05-13 11:59:39.985840,1715610579.98584,1,Point,0.46,0.85294
2024-05-13 11:59:46.143419,1715610586.14342,1,Point,0.44762,0.82353
2024-05-13 11:59:49.605324,1715610589.6053247,1,Point,0.45714,0.78922
2024-05-13 11:59:56.382032,1715610596.3820326,1,Point,0.44667,0.72181
2024-05-13 11:59:59.158647,1715610599.1586478,1,Point,0.45333,0.70221
2024-05-13 12:00:11.715066,1715610611.7150662,1,Point,0.45429,0.61029
2024-05-13 12:00:11.715066,1715610611.7150662,1,Point,0.45429,0.61029
2024-05-13 12:00:22.532917,1715610622.5329177,1,Point,0.37714,0.62255
2024-05-13 12:00:41.641084,1715610641.641085,1,Point,0.55905,0.61887
2024-05-13 12:00:43.494569,1715610643.49457,1,Task5 End,0.0,0.0
2024-05-13 12:01:54.322843,1715610714.3228436,1,Task6 Start,0.0,0.0
2024-05-13 12:02:04.352627,1715610724.3526273,1,Point,0.44286,0.62623
2024-05-13 12:02:12.586060,1715610732.5860603,1,Point,0.44857,0.70588
2024-05-13 12:02:21.401462,1715610741.4014628,1,Point,0.45619,0.79534
2024-05-13 12:02:28.295026,1715610748.295027,1,Point,0.45143,0.8223
2024-05-13 12:02:52.335430,1715610772.3354304,1,Point,0.34476,0.8223
2024-05-13 12:03:04.376756,1715610784.3767562,1,Point,0.33524,0.72181
2024-05-13 12:03:36.112688,1715610816.112688,1,Point,0.32762,0.68627
2024-05-13 12:03:47.358000,1715610827.358,1,Point,0.30952,0.64951
2024-05-13 12:03:57.931242,1715610837.9312422,1,Point,0.31429,0.51838
2024-05-13 12:04:04.580434,1715610844.5804348,1,Point,0.31619,0.45466
2024-05-13 12:04:05.458098,1715610845.458098,1,Task6 End,0.0,0.0
2024-05-13 12:04:50.728806,1715610890.7288067,1,Task7 Start,0.0,0.0
2024-05-13 12:04:53.160452,1715610893.1604521,1,Point,0.00095,0.97794
2024-05-13 12:04:56.077270,1715610896.0772707,1,Point,0.37048,0.4277
2024-05-13 12:05:03.682529,1715610903.682529,1,Point,0.41048,0.43873
2024-05-13 12:05:09.859785,1715610909.8597858,1,Point,0.45333,0.4326
2024-05-13 12:05:14.280523,1715610914.2805235,1,Point,0.00095,0.95343
2024-05-13 12:05:21.882836,1715610921.8828368,1,Point,0.44952,0.2549
2024-05-13 12:05:28.970720,1715610928.9707203,1,Point,0.49619,0.2598
2024-05-13 12:05:30.241390,1715610930.2413907,1,Task7 End,0.0,0.0
2024-05-13 12:06:46.041399,1715611006.041399,1,Task8 Start,0.0,0.0
2024-05-13 12:06:54.807450,1715611014.8074505,1,Point,0.57714,0.25613
2024-05-13 12:07:12.934129,1715611032.93413,1,Point,0.44857,0.25368
2024-05-13 12:07:20.210084,1715611040.2100842,1,Point,0.41143,0.26225
2024-05-13 12:07:24.118675,1715611044.1186752,1,Point,0.36857,0.26103
