Time,Unix,Floor,Marker,X,Y
2024-05-04 13:41:41.501198,1714839101.5011983,0,Experiment.Start,0.0,0.0
2024-05-04 13:41:43.221228,1714839103.2212284,0,Eyetracking Record?,0.0,0.0
2024-05-04 13:41:44.415047,1714839104.4150476,0,Watch Record?,0.0,0.0
2024-05-04 13:41:45.545173,1714839105.5451734,0,Joystick Record?,0.0,0.0
2024-05-04 13:41:49.596182,1714839109.5961823,0,Research Camera?,0.0,0.0
2024-05-04 13:41:51.417080,1714839111.4170804,0,Angular Measure?,0.0,0.0
2024-05-04 13:41:52.876609,1714839112.8766096,0,Iphone?,0.0,0.0
2024-05-04 13:42:47.377716,1714839167.3777165,0,Point,0.00095,0.49265
2024-05-04 13:42:47.971882,1714839167.9718826,0,Point,0.00095,0.48775
2024-05-04 13:44:04.356082,1714839244.3560822,0,Task1 Start,0.0,0.0
2024-05-04 13:44:06.048232,1714839246.048232,0,Point,0.17619,0.56127
2024-05-04 13:44:10.816701,1714839250.8167012,0,Point,0.17714,0.60662
2024-05-04 13:44:13.624953,1714839253.6249535,0,Point,0.17619,0.63603
2024-05-04 13:44:16.651406,1714839256.6514065,0,Point,0.2,0.65686
2024-05-04 13:44:22.044895,1714839262.0448956,0,Point,0.22952,0.65931
2024-05-04 13:44:25.886357,1714839265.8863573,0,Point,0.25429,0.66054
2024-05-04 13:44:33.475857,1714839273.4758568,0,Point,0.24952,0.625
2024-05-04 13:44:34.981399,1714839274.9813995,0,Point,0.27143,0.59314
2024-05-04 13:44:39.200985,1714839279.200986,0,Point,0.30952,0.59681
2024-05-04 13:44:48.861132,1714839288.8611321,0,Point,0.34857,0.61765
2024-05-04 13:44:54.200072,1714839294.2000728,0,Point,0.34667,0.66176
2024-05-04 13:45:00.666361,1714839300.666361,0,Point,0.31143,0.65809
2024-05-04 13:45:07.900002,1714839307.9000022,0,Point,0.28762,0.68382
2024-05-04 13:45:24.067962,1714839324.0679626,0,Point,0.2819,0.8701
2024-05-04 13:45:31.279885,1714839331.2798858,0,Point,0.2419,0.8701
2024-05-04 13:45:35.584938,1714839335.5849383,0,Point,0.18762,0.8652
2024-05-04 13:45:40.384376,1714839340.3843763,0,Point,0.14571,0.86765
2024-05-04 13:45:53.081011,1714839353.0810113,0,Point,0.19238,0.86642
2024-05-04 13:46:02.663207,1714839362.6632078,0,Point,0.24857,0.87377
2024-05-04 13:46:11.603139,1714839371.6031392,0,Point,0.28762,0.8652
2024-05-04 13:46:18.216921,1714839378.216921,0,Point,0.28667,0.81373
2024-05-04 13:46:27.281352,1714839387.2813525,0,Point,0.31143,0.8125
2024-05-04 13:46:46.172330,1714839406.1723309,0,Point,0.30286,0.81127
2024-05-04 13:46:52.579054,1714839412.579054,0,Point,0.2819,0.82475
2024-05-04 13:47:04.309840,1714839424.3098402,0,Point,0.28476,0.86887
2024-05-04 13:47:12.744210,1714839432.7442107,0,Point,0.35429,0.8701
2024-05-04 13:47:14.273631,1714839434.2736313,0,Task1 End,0.0,0.0
2024-05-04 13:49:43.042465,1714839583.0424654,0,Task2 Start,0.0,0.0
2024-05-04 13:49:49.823777,1714839589.8237777,0,Point,0.28857,0.8652
2024-05-04 13:49:58.730870,1714839598.7308707,0,Point,0.28857,0.80882
