Time,Unix,Floor,Marker,X,Y
2024-05-17 17:59:43.203859,1715977783.203859,0,Experiment.Start,0.0,0.0
2024-05-17 17:59:44.059925,1715977784.0599256,0,Eyetracking Record?,0.0,0.0
2024-05-17 17:59:45.329713,1715977785.3297138,0,Watch Record?,0.0,0.0
2024-05-17 17:59:46.412055,1715977786.4120553,0,Joystick Record?,0.0,0.0
2024-05-17 17:59:47.557561,1715977787.5575612,0,Research Camera?,0.0,0.0
2024-05-17 17:59:48.702750,1715977788.7027507,0,Angular Measure?,0.0,0.0
2024-05-17 17:59:49.816758,1715977789.8167586,0,Iphone?,0.0,0.0
2024-05-17 18:01:56.358589,1715977916.3585896,0,Task1 Start,0.0,0.0
2024-05-17 18:01:57.989766,1715977917.989766,0,Point,0.17619,0.58456
2024-05-17 18:02:08.059942,1715977928.059943,0,Point,0.17333,0.65319
2024-05-17 18:02:16.982170,1715977936.9821703,0,Point,0.25238,0.65564
2024-05-17 18:02:24.985354,1715977944.9853547,0,Point,0.25238,0.59926
2024-05-17 18:02:34.866797,1715977954.866798,0,Point,0.3419,0.60417
2024-05-17 18:02:44.051660,1715977964.0516603,0,Point,0.34667,0.65319
2024-05-17 18:02:49.525726,1715977969.5257268,0,Point,0.28286,0.66544
2024-05-17 18:02:59.707320,1715977979.7073207,0,Point,0.29048,0.80515
2024-05-17 18:03:05.250563,1715977985.2505639,0,Point,0.32571,0.80515
2024-05-17 18:03:14.030494,1715977994.030495,0,Point,0.28476,0.86275
2024-05-17 18:03:21.016181,1715978001.016181,0,Point,0.32952,0.8652
2024-05-17 18:03:23.208208,1715978003.2082083,0,Task1 End,0.0,0.0
2024-05-17 18:05:24.598410,1715978124.5984106,0,Task2 Start,0.0,0.0
2024-05-17 18:05:32.489866,1715978132.4898665,0,Point,0.28,0.86029
2024-05-17 18:05:48.465297,1715978148.465298,0,Point,0.29714,0.65319
2024-05-17 18:05:55.691052,1715978155.6910522,0,Point,0.24857,0.65441
2024-05-17 18:06:01.415608,1715978161.4156082,0,Point,0.16667,0.65319
2024-05-17 18:06:06.236337,1715978166.2363377,0,Point,0.14381,0.65564
2024-05-17 18:06:19.700096,1715978179.7000966,0,Point,0.14095,0.8652
2024-05-17 18:06:28.725972,1715978188.725972,0,Point,0.14571,0.90564
2024-05-17 18:06:37.552420,1715978197.5524209,0,Point,0.16952,0.96446
2024-05-17 18:06:53.202936,1715978213.2029366,0,Point,0.14952,0.87255
2024-05-17 18:07:12.430763,1715978232.430763,0,Point,0.1381,0.65074
2024-05-17 18:07:22.168857,1715978242.1688576,0,Point,0.08476,0.625
2024-05-17 18:07:23.604192,1715978243.6041927,0,Task2 End,0.0,0.0
2024-05-17 18:08:32.927521,1715978312.9275212,0,Task3 Start,0.0,0.0
2024-05-17 18:08:41.470955,1715978321.470955,0,Point,0.14095,0.65809
2024-05-17 18:09:01.448310,1715978341.4483104,0,Point,0.19714,0.65441
2024-05-17 18:09:10.196729,1715978350.1967292,0,Point,0.25429,0.65686
2024-05-17 18:09:18.492498,1715978358.4924986,0,Point,0.29714,0.66176
2024-05-17 18:09:24.044416,1715978364.0444162,0,Point,0.28476,0.69853
2024-05-17 18:09:35.191439,1715978375.1914392,0,Point,0.2819,0.8076
2024-05-17 18:09:38.955422,1715978378.9554226,0,Point,0.28571,0.85907
2024-05-17 18:09:50.294402,1715978390.2944024,0,Point,0.34571,0.8652
2024-05-17 18:10:00.455254,1715978400.4552543,0,Point,0.28952,0.85784
2024-05-17 18:10:06.460755,1715978406.4607558,0,Point,0.24476,0.86887
2024-05-17 18:10:46.389997,1715978446.3899975,0,Point,0.1419,0.8652
2024-05-17 18:11:00.869079,1715978460.8690794,0,Point,0.15524,0.64583
2024-05-17 18:11:10.942450,1715978470.9424503,0,Point,0.17333,0.57721
2024-05-17 18:11:17.902375,1715978477.902375,0,Point,0.17429,0.52451
2024-05-17 18:11:19.771055,1715978479.7710557,0,Point,0.17524,0.48284
2024-05-17 18:11:36.833735,1715978496.8337355,1,Point,0.29143,0.48652
2024-05-17 18:11:52.967615,1715978512.967616,1,Point,0.33048,0.66054
2024-05-17 18:11:55.603175,1715978515.6031754,1,Task3 End,0.0,0.0
2024-05-17 18:13:51.603236,1715978631.6032362,1,Task4 Start,0.0,0.0
2024-05-17 18:13:52.950880,1715978632.9508805,1,Point,0.34952,0.82353
2024-05-17 18:14:05.859080,1715978645.8590798,1,Point,0.45143,0.82353
2024-05-17 18:14:08.870406,1715978648.8704062,1,Point,0.45905,0.86275
2024-05-17 18:14:23.187678,1715978663.187678,1,Point,0.56571,0.86152
2024-05-17 18:14:32.429700,1715978672.4297004,1,Point,0.62571,0.87377
2024-05-17 18:14:33.728080,1715978673.7280807,1,Task4 End,0.0,0.0
2024-05-17 18:15:36.635050,1715978736.6350508,1,Task5 Start,0.0,0.0
2024-05-17 18:15:47.314959,1715978747.314959,1,Point,0.55524,0.85539
2024-05-17 18:15:58.919361,1715978758.9193616,1,Point,0.45143,0.86765
2024-05-17 18:16:02.886670,1715978762.8866704,1,Point,0.4419,0.8125
2024-05-17 18:16:16.100532,1715978776.1005325,1,Point,0.44667,0.71569
2024-05-17 18:16:23.876882,1715978783.8768823,1,Point,0.45238,0.61765
2024-05-17 18:16:39.195763,1715978799.1957629,1,Point,0.59238,0.6152
2024-05-17 18:16:41.532139,1715978801.5321395,1,Task5 End,0.0,0.0
2024-05-17 18:17:48.062129,1715978868.0621293,1,Task6 Start,0.0,0.0
2024-05-17 18:18:02.332924,1715978882.3329244,1,Point,0.45048,0.61029
2024-05-17 18:18:15.489651,1715978895.489652,1,Point,0.44286,0.71691
2024-05-17 18:18:24.491747,1715978904.4917476,1,Point,0.35333,0.72059
2024-05-17 18:18:34.309158,1715978914.3091586,1,Point,0.33429,0.65564
2024-05-17 18:18:46.164044,1715978926.1640441,1,Point,0.3019,0.50735
2024-05-17 18:18:53.260019,1715978933.2600195,1,Point,0.31238,0.46078
2024-05-17 18:18:54.353444,1715978934.3534446,1,Task6 End,0.0,0.0
2024-05-17 18:19:46.940595,1715978986.9405959,1,Task7 Start,0.0,0.0
2024-05-17 18:19:54.085996,1715978994.0859964,1,Point,0.36952,0.43505
2024-05-17 18:20:01.743153,1715979001.7431538,1,Point,0.00095,0.9424
2024-05-17 18:20:04.910728,1715979004.9107285,1,Point,0.44571,0.4375
2024-05-17 18:20:20.125582,1715979020.125582,1,Point,0.45048,0.2549
