Time,Unix,Floor,Marker,X,Y
2024-05-20 20:11:21.552373,1716244881.5523734,0,Experiment.Start,0.0,0.0
2024-05-20 20:11:22.231230,1716244882.2312307,0,Eyetracking Record?,0.0,0.0
2024-05-20 20:11:22.909992,1716244882.9099925,0,Watch Record?,0.0,0.0
2024-05-20 20:11:23.570630,1716244883.570631,0,Joystick Record?,0.0,0.0
2024-05-20 20:11:24.371238,1716244884.3712382,0,Research Camera?,0.0,0.0
2024-05-20 20:11:25.187075,1716244885.1870751,0,Angular Measure?,0.0,0.0
2024-05-20 20:11:26.010995,1716244886.0109954,0,Iphone?,0.0,0.0
2024-05-20 20:12:32.329349,1716244952.329349,0,Task1 Start,0.0,0.0
2024-05-20 20:12:34.230270,1716244954.2302701,0,Point,0.18286,0.58211
2024-05-20 20:12:38.862556,1716244958.8625567,0,Point,0.17238,0.65686
2024-05-20 20:12:47.333338,1716244967.3333387,0,Point,0.26381,0.65564
2024-05-20 20:12:53.615738,1716244973.6157384,0,Point,0.25238,0.59804
2024-05-20 20:12:58.180385,1716244978.1803858,0,Point,0.00095,0.93137
2024-05-20 20:13:05.364979,1716244985.3649795,0,Point,0.34571,0.60172
2024-05-20 20:13:10.674140,1716244990.67414,0,Point,0.34476,0.65809
2024-05-20 20:13:19.776831,1716244999.7768316,0,Point,0.28381,0.65319
2024-05-20 20:13:33.238847,1716245013.2388477,0,Point,0.28762,0.81127
2024-05-20 20:13:39.347181,1716245019.3471816,0,Point,0.3219,0.80392
2024-05-20 20:13:57.608142,1716245037.6081429,0,Point,0.28381,0.87132
2024-05-20 20:14:08.894695,1716245048.8946955,0,Point,0.33524,0.85784
2024-05-20 20:14:11.253806,1716245051.253806,0,Task1 End,0.0,0.0
2024-05-20 20:15:43.081472,1716245143.081472,0,Task2 Start,0.0,0.0
2024-05-20 20:15:45.125889,1716245145.1258893,0,Point,0.36571,0.87132
2024-05-20 20:15:56.660811,1716245156.660811,0,Point,0.2819,0.86397
2024-05-20 20:16:12.278205,1716245172.2782056,0,Point,0.28952,0.65196
2024-05-20 20:16:20.375231,1716245180.3752313,0,Point,0.25429,0.65319
2024-05-20 20:16:27.750927,1716245187.750928,0,Point,0.17333,0.64951
2024-05-20 20:16:35.108325,1716245195.1083255,0,Point,0.12095,0.64951
2024-05-20 20:16:38.335840,1716245198.33584,0,Point,0.0819,0.62745
2024-05-20 20:16:39.815346,1716245199.8153467,0,Task2 End,0.0,0.0
2024-05-20 20:17:38.910225,1716245258.9102256,0,Task3 Start,0.0,0.0
2024-05-20 20:17:56.142170,1716245276.142171,0,Point,0.17524,0.58946
2024-05-20 20:18:03.543508,1716245283.5435083,0,Point,0.17714,0.51471
2024-05-20 20:18:08.456460,1716245288.4564605,0,Point,0.17524,0.48284
